,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-07-28,2006.5,2021.0,2000.15,2008.05,325983.0,,,,0.0,0.0,,,0,0,,,0,0,0,0,
2025-07-25,2014.0,2015.0,1999.05,2004.5,193019.0,,,,-0.0796474358974137,-0.0442485754985631,,,0,0,-0.17678842658299665,,0,0,0,1,0.4739336492890933
2025-07-24,2033.05,2035.0,2009.0,2014.0,216771.0,,,,0.1931077892497796,0.0530286231687904,,,0,0,0.4739336492890933,,0,0,0,1,0.5263157894736858
2025-07-23,2014.15,2029.7,2002.55,2024.6,138987.0,,,,0.695138593674983,0.2705455508470399,,,0,0,0.5263157894736858,,0,0,0,0,-0.8816556356811223
2025-07-22,2010.05,2017.8,2002.9,2006.75,1954937.0,,,,0.2430076259927318,0.2623536407880477,2011.58,,0,0,-0.8816556356811223,,0,0,0,0,-0.3263984053818336
2025-07-21,1976.95,2002.3,1976.95,2000.2,1122204.0,,,,-0.3134339724474557,0.106283184429218,2010.0099999999998,,0,0,-0.3263984053818336,,0,0,0,0,-2.1397860213978603
2025-07-18,1990.0,1997.75,1953.0,1957.4,388697.0,,,,-2.6037987227914527,-0.5795662478819362,2000.5900000000001,,0,0,-2.1397860213978603,,0,0,0,1,1.4917748033105083
2025-07-17,2000.05,2003.0,1983.05,1986.6,1075894.0,,,,-2.7089465668666435,-1.0912963815397352,1995.11,,0,0,1.4917748033105083,,0,0,0,1,0.48323769254001725
2025-07-16,2014.2,2021.9,1993.0,1996.2,504767.0,,,,-2.264250749644134,-1.362254659628478,1989.4299999999998,,1,0,0.48323769254001725,,0,0,0,0,-0.04508566275924775
2025-07-15,1976.95,2003.0,1974.6,1995.3,1246105.0,,,,-1.9622115993231544,-1.4966798415726392,1987.14,,1,0,-0.04508566275924775,,0,0,0,0,-0.6164486543376868
2025-07-14,1983.55,1989.1,1970.55,1983.0,104678.0,,,,-2.3717244396345905,-1.6881345996796977,1983.7,,0,0,-0.6164486543376868,,0,0,0,1,0.02773575390822014
2025-07-11,1997.0,2004.85,1982.0,1983.55,101211.0,,,,-2.6094798644573984,-1.886000922825493,1988.9299999999998,,0,0,0.02773575390822014,,0,0,0,1,1.1544957273575296
2025-07-10,2013.05,2016.75,2000.3,2006.45,234993.0,,,,-1.4576108163516892,-1.7953386927207169,1992.9,,1,0,1.1544957273575296,,0,0,0,1,0.20683296369208293
2025-07-09,1999.95,2013.25,1998.15,2010.6,691541.0,,,50.74801994719858,-0.3359720561152244,-1.4900381034864194,1995.78,,1,0,0.20683296369208293,,0,0,0,0,-0.45260121356808236
2025-07-08,1978.0,2005.6,1978.0,2001.5,1464788.0,,,48.17599554441661,-0.0258099228526589,-1.186513131818242,1997.02,,1,0,-0.45260121356808236,,0,0,0,0,-0.7119660254808924
2025-07-07,1989.2,1998.1,1983.65,1987.25,210348.0,,,45.46649145860708,-0.6543942026057721,-1.0770070230337696,1997.8700000000001,,0,0,-0.7119660254808924,,0,0,0,1,0.10064159013711826
2025-07-04,1987.0,2004.25,1979.2,1989.25,388857.0,,,43.228454172366604,-1.0018872591758736,-1.0616369673775603,1999.0099999999998,,0,0,0.10064159013711826,,0,0,0,0,-0.1809727284152296
2025-07-03,1991.15,2007.9,1984.0,1985.65,286447.0,,,38.91891891891894,-1.4826908830441423,-1.1473925864064916,1994.85,,0,0,-0.1809727284152296,,0,0,0,1,0.0025180671316737957
2025-07-02,2020.0,2020.0,1977.4,1985.7,193979.0,,,43.33649889205444,-1.830951306226325,-1.2861033633410657,1989.8700000000001,,0,0,0.0025180671316737957,,0,0,0,1,1.3219519564888982
2025-07-01,2003.1,2015.35,2003.1,2011.95,2209210.0,1996.925,,53.30706445257529,-0.3661882570868329,-1.0999744214933598,1991.9599999999998,1996.925,1,1,1.3219519564888982,652670.8,1,0,0,0,-0.5591590248266609
2025-06-30,2008.05,2013.95,1995.0,2000.7,211947.0,1996.5575,,64.81861738535252,0.0256245934274375,-0.8727589254567159,1994.65,1996.5574999999997,1,1,-0.5591590248266609,646969.0,0,0,0,1,0.6847603338831387
2025-06-27,2014.0,2019.8,1993.05,2014.4,234541.0,1997.0525,,60.64318529862182,1.2476100014828262,-0.4455327674293173,1999.6799999999998,1997.0524999999998,1,1,0.6847603338831387,649045.1,0,0,0,1,0.42692613185066897
2025-06-26,1980.0,2027.4,1980.0,2023.0,346092.0,1997.5025,,60.33950617283952,2.764793392868569,0.2003450543522725,2007.15,1997.5024999999998,1,1,0.42692613185066897,655511.15,0,0,0,0,-2.1156697973306993
2025-06-25,1972.35,1982.0,1962.9,1980.2,126857.0,1995.2825,,45.59766763848398,0.968155226983754,0.3546357058799633,2006.05,1995.2825,0,0,-2.1156697973306993,654904.65,0,0,0,0,-0.9948490051509995
2025-06-24,1960.2,1978.85,1955.25,1960.5,2465329.0,1992.97,,43.711570709893785,-1.8096193832445808,-0.0798567781398204,1995.7599999999998,1992.97,0,0,-0.9948490051509995,680424.25,1,0,0,0,-0.6477939301198665
2025-06-23,1946.4,1957.5,1942.1,1947.8,231653.0,1990.35,,40.643810520806056,-4.842518765816521,-1.035276755372792,1985.1799999999998,1990.35,0,0,-0.6477939301198665,635896.7,0,0,0,1,0.9189855221275245
2025-06-20,1934.5,1969.15,1931.8,1965.7,321963.0,1990.765,,39.048642837946765,-5.880200168935062,-2.0066099777091093,1975.44,1990.765,0,0,0.9189855221275245,632560.0,0,0,0,0,-1.5719590985399656
2025-06-19,1930.25,1946.0,1927.0,1934.8,152720.0,1988.175,,32.18984962406016,-8.830269411258996,-3.3739867557665018,1957.8,1988.175,0,0,-1.5719590985399656,586401.3,0,0,0,0,-0.04651643580730891
2025-06-18,1921.9,1935.7,1918.5,1933.9,195382.0,1985.06,,33.479960899315756,-11.094197722356512,-4.920421941627925,1948.5400000000002,1985.06,0,0,-0.04651643580730891,570932.05,0,0,0,0,-0.22234862195564808
2025-06-17,1941.95,1941.95,1919.55,1929.6,1206170.0,1981.775,,35.19136912406883,-13.04510657351898,-6.547372935783756,1942.36,1981.775,0,0,-0.22234862195564808,568935.3,1,0,0,1,0.28244195688225116
2025-06-16,1920.05,1938.75,1920.05,1935.05,306900.0,1979.3775,,36.32004038364463,-14.01908423441114,-8.043196587501368,1939.81,1979.3775,0,0,0.28244195688225116,579046.4,0,0,0,0,-0.9198728715020255
2025-06-13,1910.0,1932.55,1910.0,1917.25,199742.0,1976.0625,,33.89072067828543,-15.928184888197848,-9.62144466459206,1930.1200000000001,1976.0625,0,0,-0.9198728715020255,583972.95,0,0,0,1,1.2883035597861525
2025-06-12,1950.0,1961.0,1935.15,1941.95,165128.0,1972.8375,,40.76809453471198,-15.407295051021263,-10.779348650719411,1931.55,1972.8375,1,0,1.2883035597861525,580479.7,0,0,0,1,0.3939339323875357
2025-06-11,1966.0,1966.1,1947.0,1949.6,140662.0,1969.7875,,35.72246393405081,-14.252634779854816,-11.47435828830019,1934.69,1969.7875,1,0,0.3939339323875357,552935.75,0,0,0,1,0.8360689372179042
2025-06-10,1983.0,1983.0,1961.1,1965.9,331697.0,1968.0075,,42.21128021486126,-11.96540484199545,-11.572607453635534,1941.95,1968.0075000000002,1,0,0.8360689372179042,496281.2,0,0,0,1,0.6460145480441382
2025-06-09,1987.05,1993.95,1976.35,1978.6,577180.0,1967.575,,41.95143884892082,-9.083473211370574,-11.074618998689404,1950.6600000000003,1967.575,1,1,0.6460145480441382,514622.8,1,0,0,1,0.0050540786414643435
2025-06-06,1945.9,1996.3,1942.3,1978.7,957699.0,1967.0475,,39.64469378214122,-6.716688788461397,-10.202806621210364,1962.95,1967.0475000000001,1,1,0.0050540786414643435,543064.9,1,0,0,0,-1.4049628543993498
2025-06-05,1950.0,1959.45,1940.8,1950.9,214433.0,1965.31,,42.63448969331325,-6.895802140975093,-9.54126832903546,1964.7400000000002,1965.3100000000002,0,0,-1.4049628543993498,539464.2,0,0,0,0,-0.517709774975661
2025-06-04,1917.05,1943.55,1917.05,1940.8,173475.0,1963.065,,44.79661912308505,-7.725634441433613,-9.178081206703752,1962.98,1963.0649999999998,0,0,-0.517709774975661,538439.0,0,0,0,0,-0.8012159934047802
