,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal,MA_5,MA_20,Above_MA5,Above_MA20,Price_Change,Volume_MA,High_Volume,RSI_Overbought,RSI_Oversold,Tomorrow_Up,Tomorrow_Change
2025-06-18,416.5,418.5,414.9,415.8,319108.0,416.67,,47.64595103578155,-0.2173073968687049,-0.1848111645803279,415.82,416.66999999999996,0,0,-0.048076923076922906,550372.9,0,0,0,1,0.3727753727753802
2025-06-17,415.5,419.0,415.5,417.35,1221651.0,416.43,,52.20588235294125,-0.1294482801338858,-0.1737248635150633,416.44000000000005,416.43,1,1,0.3727753727753802,601768.1,1,0,0,1,0.17970528333532965
2025-06-16,413.9,419.0,413.05,418.1,330365.0,416.37,,61.39630390143736,-0.0044749815959903,-0.1398413305055007,417.14,416.37,1,1,0.17970528333532965,564235.1,0,0,0,0,-1.0045443673762366
2025-06-13,415.5,419.35,413.65,413.9,937565.0,416.2125,,50.6352087114337,-0.2159392897377188,-0.1550729901159741,416.23,416.2125,0,0,-1.0045443673762366,582023.2,1,0,0,1,1.7033099782556294
2025-06-12,427.0,427.35,419.7,420.95,362492.0,416.4150000000001,,61.85567010309276,0.1433328581041451,-0.0953539690454978,417.2200000000001,416.4150000000001,1,1,1.7033099782556294,570203.25,0,0,0,1,1.2234232094072928
2025-06-11,428.0,428.0,424.8,426.1,1627257.0,416.7525,,64.80978260869566,0.8060543159410258,0.0850191479878357,419.28000000000003,416.75249999999994,1,1,1.2234232094072928,643718.45,1,0,0,1,0.23468669326449643
2025-06-10,423.65,428.5,423.1,427.1,1557617.0,417.255,,64.52054794520546,1.3898884703776275,0.3460989190028931,421.23,417.255,1,1,0.23468669326449643,682974.4,1,0,0,0,-0.9482556778272144
2025-06-09,421.75,423.55,420.7,423.05,604560.0,417.6,,55.380577427821535,1.5260111780832517,0.5821579763628372,422.21999999999997,417.6,1,1,-0.9482556778272144,680671.45,0,0,0,0,-0.5082141590828537
2025-06-06,420.15,421.25,419.05,420.9,754865.0,418.0175,,50.707850707850646,1.4525622259906754,0.7562840319969878,423.62,418.01750000000004,0,1,-0.5082141590828537,687518.5,1,0,0,0,-0.38013779995247354
2025-06-05,417.05,420.9,415.85,419.3,482855.0,418.305,,54.04663923182439,1.2570492508527875,0.8564578810626201,423.28999999999996,418.305,0,1,-0.38013779995247354,687443.65,0,0,0,0,-0.6200810875268359
2025-06-04,418.6,419.15,416.0,416.7,543294.0,418.495,,53.31529093369416,0.8916742540733367,0.8635023261239624,421.41,418.495,0,0,-0.6200810875268359,683224.95,0,0,0,1,0.02399808015358662
2025-06-03,419.35,421.75,415.75,416.8,1958233.0,418.575,,52.99727520435965,0.6030954908068793,0.8114140353391093,419.35,418.575,0,0,0.02399808015358662,738359.6,1,0,0,1,0.6118042226487486
2025-06-02,418.0,420.65,414.9,419.35,610042.0,418.7175,,51.271186440678,0.5657049836914894,0.7622669988002352,418.61,418.71750000000003,1,1,0.6118042226487486,755221.65,0,0,0,0,-0.3457732204602437
2025-05-30,418.6,419.85,416.2,417.9,645666.0,418.665,,52.7616279069767,0.4184898377276909,0.6935057170227974,418.01000000000005,418.66499999999996,0,0,-0.3457732204602437,734170.5,0,0,0,1,0.20339794209141004
2025-05-29,421.9,422.8,416.45,418.75,361111.0,418.585,,54.20827389443647,0.3639517271676027,0.6275904330899919,417.9,418.58500000000004,1,1,0.20339794209141004,742040.9,0,0,0,1,0.3223880597015061
2025-05-28,418.0,422.4,415.1,420.1,18779384.0,418.7725,,53.945480631276865,0.4214036437888921,0.5863508299322081,418.58000000000004,418.77250000000004,1,1,0.3223880597015061,1673634.75,1,0,0,1,3.284932159009757
2025-05-27,442.8,444.15,430.95,433.9,1716841.0,419.755,,66.49269311064705,1.5305150572080493,0.7751919005760471,422.0,419.755,1,1,3.284932159009757,1693470.45,1,0,0,1,2.05116386264117
2025-05-26,441.95,443.45,436.95,442.8,805730.0,421.1650000000001,,77.47148288973378,3.0724317817143856,1.2346558867869717,426.69000000000005,421.1650000000001,1,1,2.05116386264117,1722462.85,0,1,0,0,-1.4679313459801224
2025-05-23,433.95,439.0,429.0,436.3,1220417.0,422.0575,,64.745437079731,3.739168818809048,1.7355724367068186,430.37,422.0575,1,1,-1.4679313459801224,1748587.35,0,0,0,0,-2.3378409351363705
2025-05-22,433.45,433.45,423.0,426.1,540525.0,422.5625,,50.0,3.423634925053136,2.0731924635542747,431.84,422.5625,0,1,-2.3378409351363705,1768978.9,0,0,0,1,1.6076038488617606
2025-05-21,435.55,438.1,432.1,432.95,339031.0,423.42,,54.64654487688638,3.672134026770834,2.392986481513516,434.41,423.41999999999996,0,1,1.6076038488617606,1769975.05,0,0,0,1,0.43884975170342955
2025-05-20,435.8,440.85,433.35,434.85,831917.0,424.295,419.758,59.70394736842105,3.973350458527932,2.709063788122464,434.6,424.29499999999996,1,1,0.43884975170342955,1750488.35,0,0,0,1,0.05749108888122301
2025-05-19,435.6,438.5,432.8,435.1,336241.0,425.145,420.264,62.054329371816664,4.183438601112869,3.0039421176358685,433.06000000000006,425.145,1,1,0.05749108888122301,1750782.15,0,0,0,1,0.1149161112387942
2025-05-16,434.25,436.25,432.15,435.6,443112.0,426.23,420.78899999999993,64.10034602076122,4.339396984184134,3.271035530679649,432.91999999999996,426.23,1,1,0.1149161112387942,1726059.5,0,0,0,0,-0.7231404958677801
2025-05-15,428.65,435.4,426.05,432.45,1175835.0,426.805,421.238,63.49614395886886,4.164645207246281,3.4497587720145244,434.18999999999994,426.805,0,1,-0.7231404958677801,1766726.65,0,0,0,0,-0.7284079084287187
2025-05-14,428.0,431.25,426.0,429.3,291325.0,426.965,421.525,60.17915309446253,3.732565096698181,3.5063203676107144,433.46000000000004,426.965,0,1,-0.7284079084287187,1699930.05,0,0,0,0,-0.29117167481946815
2025-05-13,435.45,438.0,425.5,428.05,1104877.0,427.0125,421.764,57.23793677204657,3.253110504706626,3.455678158186146,432.1,427.0125,0,1,-0.29117167481946815,1677293.05,0,0,0,1,1.740450881906308
2025-05-12,428.55,436.15,428.2,435.5,137482.0,427.6350000000001,422.0710000000001,63.31316187594555,3.427278681356711,3.449998241569168,432.18,427.63500000000005,1,1,1.740450881906308,1653939.15,0,0,0,0,-2.7554535017221604
2025-05-09,422.6,429.0,422.6,423.5,890146.0,427.765,422.088,53.07443365695792,2.5783795634499143,3.275673984165733,429.76000000000005,427.765,0,0,-2.7554535017221604,1660703.2,0,0,0,1,1.617473435655259
2025-05-08,429.75,431.55,423.65,430.35,271781.0,428.3175,422.219,56.19335347432025,2.424549412971828,3.105448662318285,429.34,428.3175,1,1,1.617473435655259,1650149.5,0,0,0,1,0.06971070059254014
2025-05-07,430.05,435.0,429.6,430.65,960440.0,429.015,422.343,47.65342960288809,2.3000648641505563,2.944371594122379,429.61,429.015,1,1,0.06971070059254014,1671006.8,0,0,0,1,1.1610356437942615
2025-05-06,437.05,439.85,432.2,435.65,969570.0,429.9575000000001,422.613,44.5294567712318,2.5714972277204997,2.869796606556167,431.12999999999994,429.9575000000001,1,1,1.1610356437942615,1621573.65,0,0,0,1,0.33283599219557924
2025-05-05,430.2,438.45,429.35,437.1,538748.0,430.845,422.969,50.66334991708127,2.86947403546219,2.8697320922582774,431.45,430.84499999999997,1,1,0.33283599219557924,1618008.95,0,0,0,0,-1.5900251658659492
2025-05-02,425.25,431.4,424.05,430.15,248353.0,431.4575000000001,423.231,53.54951796669584,2.52011004877113,2.79980761497912,432.7799999999999,431.4575000000001,0,0,-1.5900251658659492,1598143.3,0,0,0,0,-1.127513658026258
2025-04-30,427.0,428.9,423.25,425.3,153088.0,431.785,423.399,43.05177111716624,1.833591095977113,2.606564159552615,431.77,431.785,0,0,-1.127513658026258,1587742.15,0,0,0,1,0.1410768869033463
2025-04-29,428.8,429.9,425.0,425.9,704752.0,432.075,423.53,41.674418604651116,1.322392720626965,2.3497297105498887,430.82,432.075,0,0,0.1410768869033463,684010.55,1,0,0,1,0.6809110119746498
2025-04-28,424.7,430.85,424.7,428.8,554624.0,431.8200000000001,423.765,44.414893617021264,1.136724647886922,2.107128576190735,429.45,431.82000000000005,0,0,0.6809110119746498,625899.7,0,0,0,0,-0.15158582089552786
2025-04-25,430.1,432.5,423.35,428.15,706122.0,431.0875,424.005,43.41290893015028,0.926751652352266,1.871053096583374,427.66,431.0875,1,0,-0.15158582089552786,620919.3,1,0,0,1,0.45544785705944335
2025-04-24,430.95,435.8,429.4,430.1,387524.0,430.7775,424.356,47.87714543812108,0.90640708686567,1.6781238326347587,427.65,430.7775,1,0,0.45544785705944335,579274.65,0,0,0,1,0.15112764473377283
2025-04-23,435.35,436.5,428.7,430.75,630529.0,431.0100000000001,424.7,51.371807000946056,0.9317257616955884,1.5288441800656205,428.73999999999995,431.01000000000005,1,0,0.15112764473377283,583774.85,1,0,0,1,0.6848520023215343
2025-04-22,426.0,434.9,424.0,433.7,609324.0,431.0475,425.116,55.17873510540786,1.1751824772134114,1.458111824946377,430.3,431.0475,1,1,0.6848520023215343,597289.5,1,0,0,0,-2.513258012451003
2025-04-21,429.85,429.85,421.4,422.8,688209.0,430.445,425.268,39.05172413793106,0.4866931453398138,1.2638280570555818,429.1,430.445,0,0,-2.513258012451003,590104.1,1,0,0,1,1.0525070955534455
2025-04-17,424.15,427.75,421.7,427.25,516159.0,430.0525,425.483,53.716551040634286,0.2953455967962668,1.0701315395054387,428.91999999999996,430.05249999999995,0,0,1.0525070955534455,599100.0,0,0,0,0,-0.7255705090696396
2025-04-16,419.85,425.85,418.55,424.15,568491.0,429.48,425.5870000000001,43.36188436830831,-0.1043231648706637,0.8352405738933123,427.73,429.48,0,0,-0.7255705090696396,605368.95,0,0,0,0,-0.9076977484380411
